($million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,ABN,Institution Name, Cash and deposits with financial institutions , Trading securities , Investment securities , Net acceptances of customers , Total residents assets , Total securitised assets on balance sheet , Loans to non-financial businesses , Loans to financial institutions , Loans to general government , Loans to households: Housing: Owner-occupied , Loans to households: Housing: Investment , Loans to households: Credit cards , Loans to households: Other , Loans to community service organisations , Total residents loans and finance leases , Intra-group loans and finance leases , Acceptances , Intra-group deposits , Negotiable Certificates of Deposit , Total short-term borrowings , Total long-term borrowings , Deposits by non-financial businesses , Deposits by financial institutions , Deposits by general government , Deposits by households , Deposits by community service organisations , Total residents deposits ,,
30/09/2022,95082610008,State Bank of India,62,0,89,0,"1,579",0,"1,228",266,0,0,0,0,0,0,"1,494",0,0,0,0,77,470,107,9,0,3,0,119,,
30/09/2022,70062819630,State Street Bank and Trust Company,"3,243",0,"3,004",0,"8,451",0,0,27,0,0,0,0,0,0,27,0,0,557,0,0,0,0,"8,182",0,0,0,"8,182",,
30/09/2022,98114053459,Sumitomo Mitsui Banking Corporation,786,0,"2,944",0,"32,270",0,"21,378","5,984",0,0,0,0,0,0,"27,362",276,0,0,"8,511","9,389","4,949","6,808","3,575",0,0,0,"10,382",,
30/09/2022,23087650806,Summerland Financial Services Limited,77,0,179,0,"1,020",0,37,0,0,503,181,2,21,0,744,,0,,,0,2,152,20,2,737,21,932,,
30/09/2022,66010831722,Suncorp-Metway Limited,"4,731","1,802","5,085",0,"89,091","12,987","12,534",95,0,"34,782","13,838",0,"2,003",3,"63,256",446,0,447,"5,441","7,863","6,860","8,597","4,424","3,746","32,492",240,"49,499",,
30/09/2022,30165085638,"Taishin International Bank Co., Ltd",26,0,273,0,"1,068",0,684,168,0,0,0,0,0,0,852,0,0,0,64,64,0,118,0,0,1,0,120,,
30/09/2022,36078577250,"Taiwan Business Bank, Ltd",110,0,232,0,"2,072",0,"1,627",85,0,2,18,0,18,0,"1,749",0,0,0,205,205,0,17,0,0,9,0,26,,
30/09/2022,96139482634,"Taiwan Cooperative Bank, Ltd",9,0,342,0,"1,209",0,843,100,0,0,0,0,0,0,943,0,0,0,204,211,37,156,0,0,2,0,158,,
30/09/2022,30087650459,Teachers Mutual Bank Limited,292,0,"1,245",0,"10,458","1,960",2,0,0,"6,903","1,675",51,147,0,"8,776",0,0,0,521,520,199,105,369,69,"8,034",28,"8,605",,
30/09/2022,84084066419,The Bank of New York Mellon,17,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,,
30/09/2022,34133513827,The Bank of Nova Scotia,1,0,"1,418",0,"6,881",0,"5,071",59,0,0,0,0,0,0,"5,130",0,0,0,"4,332","4,532","2,300",448,120,0,0,0,568,,
30/09/2022,54087650940,The Capricornian Ltd,24,0,89,0,414,0,16,0,0,226,43,0,10,0,295,,0,,,0,10,40,2,3,323,4,373,,
30/09/2022,65117925970,The Hongkong and Shanghai Banking Corporation Limited,"1,562",0,"3,122",3,"30,414",0,"11,211",453,15,0,0,0,0,0,"11,679","4,174",3,0,968,968,"2,349",118,126,0,0,0,244,,
30/09/2022,62126279918,The Northern Trust Company,"1,336",0,"2,988",0,"3,718",0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,"10,447","2,672",0,28,"13,147",,
30/09/2022,49103575042,Tyro Payments Limited,54,0,74,0,416,0,45,0,0,0,0,0,0,0,45,0,0,0,0,0,0,87,0,0,0,1,88,,
30/09/2022,47088129613,UBS AG,"2,164","-1,725",14,0,"11,902",0,105,"5,263",0,0,0,0,0,0,"5,368",990,0,"1,358",0,0,"5,962",1,"2,917",59,0,0,"2,977",,
30/09/2022,17135448047,Union Bank of India,82,0,117,0,644,0,118,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,15,0,0,0,15,,
30/09/2022,56060785284,United Overseas Bank Limited,117,0,"7,372",0,"18,077",0,"9,601",719,0,0,0,0,0,0,"10,320",190,0,2,"7,165","7,165","3,601",76,"1,250",0,0,0,"1,327",,
30/09/2022,11087650315,Unity Bank Limited,160,0,322,0,"2,005",267,129,8,1,764,192,5,50,1,"1,150",0,0,0,0,0,187,119,235,6,897,57,"1,313",,
30/09/2022,44087651769,Victoria Teachers Limited,97,0,731,0,"4,083",705,4,3,0,"1,920",492,14,28,0,"2,461",7,0,0,0,0,0,112,108,3,"2,766",34,"3,022",,
30/09/2022,98087651116,Warwick Credit Union Ltd,75,0,0,0,403,0,44,1,0,222,49,0,6,2,323,,0,,,0,0,50,11,4,278,29,371,,
30/09/2022,48087651787,WAW Credit Union Co-Operative Limited,26,0,117,0,670,0,34,3,0,391,86,0,3,0,516,,0,,,0,0,64,28,18,484,30,625,,
30/09/2022,33007457141,Westpac Banking Corporation,"84,476","4,377","72,452",0,"1,018,613","164,014","145,830","31,604",568,"283,650","154,208","6,032","17,844",239,"639,975","40,975",0,"13,924","30,531","55,984","125,844","148,503","82,051","31,286","265,639","2,498","529,976",,
30/09/2022,38616463855,Wise Australia Pty Ltd,393,0,42,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,282,3,399,,
30/09/2022,94150148299,Woori Bank,7,0,32,0,660,0,614,12,0,0,0,0,0,1,627,0,0,0,305,20,486,58,0,0,0,3,62,,
31/08/2022,48848300367,Agricultural Bank of China Limited,44,0,"4,099",0,"5,868",0,"2,008",653,0,0,0,0,0,0,"2,660",0,0,0,"1,240","3,614","1,100",808,0,0,0,0,808,,
31/08/2022,15081596009,AMP Bank Limited,477,0,"4,061",0,"32,430","7,874",601,660,0,"14,764","6,464",0,472,0,"22,961",0,0,"6,418",465,465,225,"2,716","1,873",163,"9,124",98,"13,974",,
31/08/2022,37002950745,Arab Bank Australia Limited,105,0,241,0,"1,317",123,284,0,0,266,227,0,45,4,825,0,0,0,3,3,0,285,257,3,380,4,928,,
31/08/2022,11005357522,Australia and New Zealand Banking Group Limited,"70,811","21,936","41,178",34,"685,601","88,999","128,978","14,753",631,"173,548","89,532","4,986","11,156","1,505","425,089","18,470",46,"1,011","36,612","66,280","59,885","131,033","57,674","6,738","158,270","4,941","358,656",,
31/08/2022,11087651125,Australian Central Credit Union Ltd,134,0,"1,353",0,"12,370","3,256",30,0,0,"6,787","1,742",34,335,0,"8,929",,0,,,186,463,467,150,1,"6,957",15,"7,590",,
31/08/2022,48087649741,Australian Military Bank Ltd,47,0,213,0,"1,973",348,0,0,0,"1,068",220,11,50,0,"1,349",0,0,0,143,143,75,52,286,46,795,109,"1,288",,
